"secuencial","nombreGenetica","codigoProcesoAgrosuper","edad","idSexo","sexo","codigoConstruccion","tipoClima","codigoZonaGeografica","zonaGeografica","consumoDiario","consumoAcumulado","consumoDiarioAgua","consumoAcumuladoAgua","ganancia","gananciaMedia","crecimiento","peso","conversion","conversionAcumulada","raza","anio","temperaturaDeseada","stock","kilogramosCarne","ventilacionMinima","ventiladoresFuncionando","porcentajeOperacionRequerida","porcentajeOperacionRequeridaTotal","tiempoEncendido","tiempoApagado","cicloVentilacion","active","created_at","updated_at"
692,ROSS - 2017,1,23,1,Hembra,1,,-1,Sin Información,0.116,1.354,0.232,2.728,0.077,0.047,,1.078,1.255,1.255,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:36"
693,ROSS - 2017,1,24,1,Hembra,1,,-1,Sin Información,0.121,1.475,0.242,2.97,0.079,0.048,,1.157,1.274,1.274,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:40"
694,ROSS - 2017,1,25,1,Hembra,1,,-1,Sin Información,0.127,1.602,0.254,3.224,0.081,0.05,,1.238,1.294,1.294,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:52"
695,ROSS - 2017,1,26,1,Hembra,1,,-1,Sin Información,0.132,1.734,0.264,3.488,0.083,0.051,,1.321,1.313,1.313,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:30"
696,ROSS - 2017,1,27,1,Hembra,1,,-1,Sin Información,0.138,1.872,0.276,3.764,0.084,0.052,,1.405,1.332,1.332,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:13"
697,ROSS - 2017,1,28,1,Hembra,1,,-1,Sin Información,0.143,2.015,0.286,4.05,0.086,0.053,,1.491,1.352,1.352,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:48"
698,ROSS - 2017,1,29,1,Hembra,1,,-1,Sin Información,0.15,2.165,0.3,4.35,0.087,0.054,,1.578,1.372,1.372,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:47"
699,ROSS - 2017,1,30,1,Hembra,1,,-1,Sin Información,0.155,2.32,0.31,4.66,0.088,0.056,,1.666,1.393,1.393,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:20"
700,ROSS - 2017,1,31,1,Hembra,1,,-1,Sin Información,0.16,2.48,0.32,4.98,0.089,0.057,,1.755,1.413,1.413,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:17"
701,ROSS - 2017,1,32,1,Hembra,1,,-1,Sin Información,0.165,2.645,0.33,5.31,0.089,0.058,,1.844,1.434,1.434,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:15"
702,ROSS - 2017,1,33,1,Hembra,1,,-1,Sin Información,0.169,2.814,0.338,5.648,0.09,0.059,,1.934,1.455,1.455,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:45"
703,ROSS - 2017,1,34,1,Hembra,1,,-1,Sin Información,0.174,2.988,0.348,5.996,0.09,0.06,,2.024,1.476,1.476,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:34"
704,ROSS - 2017,1,35,1,Hembra,1,,-1,Sin Información,0.177,3.165,0.354,6.35,0.09,0.06,,2.114,1.497,1.497,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:42"
705,ROSS - 2017,1,36,1,Hembra,1,,-1,Sin Información,0.181,3.346,0.362,6.712,0.09,0.061,,2.204,1.518,1.518,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:49"
706,ROSS - 2017,1,37,1,Hembra,1,,-1,Sin Información,0.184,3.53,0.368,7.08,0.09,0.062,,2.294,1.539,1.539,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:40"
707,ROSS - 2017,1,38,1,Hembra,1,,-1,Sin Información,0.188,3.718,0.376,7.456,0.09,0.063,,2.383,1.56,1.56,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:46"
708,ROSS - 2017,1,39,1,Hembra,1,,-1,Sin Información,0.191,3.909,0.382,7.838,0.089,0.063,,2.473,1.581,1.581,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:17"
709,ROSS - 2017,1,40,1,Hembra,1,,-1,Sin Información,0.194,4.103,0.388,8.226,0.089,0.064,,2.561,1.602,1.602,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:05"
710,ROSS - 2017,1,41,1,Hembra,1,,-1,Sin Información,0.197,4.3,0.394,8.62,0.088,0.065,,2.65,1.623,1.623,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:01"
711,ROSS - 2017,1,42,1,Hembra,1,,-1,Sin Información,0.2,4.5,0.4,9.02,0.087,0.065,,2.737,1.644,1.644,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:25"
712,ROSS - 2017,1,43,1,Hembra,1,,-1,Sin Información,0.202,4.702,0.404,9.424,0.086,0.066,,2.823,1.665,1.665,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:43"
713,ROSS - 2017,1,44,1,Hembra,1,,-1,Sin Información,0.205,4.906,0.41,9.834,0.085,0.066,,2.909,1.687,1.687,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:42"
714,ROSS - 2017,1,45,1,Hembra,1,,-1,Sin Información,0.207,5.113,0.414,10.248,0.084,0.067,,2.993,1.708,1.708,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:36"
715,ROSS - 2017,1,46,1,Hembra,1,,-1,Sin Información,0.208,5.321,0.416,10.664,0.083,0.067,,3.076,1.73,1.73,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:41"
716,ROSS - 2017,1,47,1,Hembra,1,,-1,Sin Información,0.21,5.531,0.42,11.084,0.082,0.067,,3.158,1.752,1.752,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:33"
717,ROSS - 2017,1,48,1,Hembra,1,,-1,Sin Información,0.211,5.743,0.422,11.506,0.08,0.067,,3.238,1.774,1.774,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:13"
718,ROSS - 2017,1,49,1,Hembra,1,,-1,Sin Información,0.213,5.956,0.426,11.932,0.079,0.068,,3.316,1.796,1.796,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:58"
719,ROSS - 2017,1,50,1,Hembra,1,,-1,Sin Información,0.214,6.17,0.428,12.36,0.077,0.068,,3.394,1.818,1.818,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:48"
